t,S_true,P_true,P_obs
0.0,0.25,0.0,0.031838803640964836
0.2564102564102564,0.16130332721559376,0.08869667278440624,0.057720110059117855
0.5128205128205128,0.09876580797836985,0.15123419202163013,0.18253451537124515
0.7692307692307692,0.057902880611638535,0.19209711938836146,0.19015374716544217
1.0256410256410255,0.032899102922339794,0.2171008970776602,0.20140559933547586
1.282051282051282,0.018290001228970808,0.23170999877102919,0.23105832591927017
1.5384615384615383,0.010054909366412085,0.2399450906335879,0.26676969263459127
1.7948717948717947,0.005486551998794602,0.2445134480012054,0.22838163740338543
2.051282051282051,0.002978868984568302,0.2470211310154317,0.26452613372515976
2.3076923076923075,0.0016155620914532552,0.24838443790854675,0.22002746403507792
2.564102564102564,0.0008750122125575279,0.24912498778744246,0.2690728065649168
2.8205128205128203,0.00047296684228563654,0.24952703315771435,0.2333524648185791
3.0769230769230766,0.0002560494601576645,0.24974395053984233,0.1817457659697156
3.333333333333333,0.00013845474521200992,0.249861545254788,0.2664289037584484
3.5897435897435894,7.47868477570255e-05,0.24992521315224298,0.24472361352110278
3.846153846153846,4.0581152258469785e-05,0.24995941884774153,0.21228682294385115
4.102564102564102,2.184077908121353e-05,0.2499781592209188,0.2652994140020161
4.358974358974359,1.1888095344948745e-05,0.24998811190465506,0.25814175464809075
4.615384615384615,6.4483136249336e-06,0.24999355168637508,0.27387680859302693
4.871794871794871,3.4030743494989385e-06,0.2499965969256505,0.2188725169163701
5.128205128205128,1.9985196480444156e-06,0.24999800148035195,0.27288536730309076
5.384615384615384,1.030943127479759e-06,0.24999896905687252,0.23943819160617183
5.6410256410256405,4.866131625704111e-07,0.24999951338683743,0.23527505551513436
5.897435897435897,3.5937317565501343e-07,0.24999964062682434,0.2554773427150557
6.153846153846153,2.576610799306617e-07,0.24999974233892006,0.24167025231700176
6.41025641025641,5.154724482311291e-08,0.24999994845275517,0.21282502721489124
6.666666666666666,-3.5862895951289545e-08,0.25000003586289593,0.2771356365542393
6.9230769230769225,3.4843633292690656e-08,0.24999996515636672,0.25465513979006316
7.179487179487179,1.455660536243878e-07,0.24999985443394637,0.2620252838932983
7.435897435897435,4.811609583212785e-08,0.24999995188390417,0.26989493181920543
7.692307692307692,-2.0319322396367976e-07,0.25000020319322397,0.2538372436296078
7.948717948717948,-3.3447722159448387e-07,0.2500003344772216,0.2570573494938281
8.205128205128204,-2.2340215438334502e-07,0.2500002234021544,0.23279542068141965
8.46153846153846,8.943377957571784e-08,0.24999991056622042,0.2419681133518689
8.717948717948717,4.0050044141773423e-07,0.24999959949955858,0.23817927516098364
8.974358974358974,3.569276179003155e-07,0.2499996430723821,0.25845136879309244
9.23076923076923,1.3069735767160831e-07,0.24999986930264234,0.2427403753474214
9.487179487179485,3.806801746392474e-08,0.24999996193198254,0.2558491421600759
9.743589743589743,8.08947898874218e-08,0.2499999191052101,0.24885426527632976
10.0,1.090911931097072e-07,0.2499998909088069,0.2566592673096821
