t,S_true,P_true,P_obs
0.0,2.0,0.0,0.015495876219321046
0.2564102564102564,1.757063832637392,0.24293616736260804,0.22549213209349112
0.5128205128205128,1.5213808182612698,0.4786191817387302,0.45364577441094217
0.7692307692307692,1.2944370437627548,0.7055629562372452,0.7053517507795706
1.0256410256410255,1.0781610141094708,0.9218389858905292,0.9096984217584773
1.282051282051282,0.8749310564351412,1.1250689435648589,1.1423658430003785
1.5384615384615383,0.687627498050503,1.312372501949497,1.32704405891056
1.7948717948717947,0.5198477435133022,1.4801522564866978,1.4996121829843605
2.051282051282051,0.37520648047548844,1.6247935195245116,1.6666169717639858
2.3076923076923075,0.2568423315352296,1.7431576684647703,1.7248803512554511
2.564102564102564,0.16632622497158409,1.833673775028416,1.84925692089145
2.8205128205128203,0.10219533456685231,1.8978046654331477,1.9010950127474155
3.0769230769230766,0.060067051422570183,1.9399329485774297,1.916620814969413
3.333333333333333,0.03416803555757189,1.965831964442428,1.9618397286143843
3.5897435897435894,0.019040492301534533,1.9809595076984654,1.9668178348851266
3.846153846153846,0.010460734730803029,1.989539265269197,1.9939623161773061
4.102564102564102,0.005710879535631753,1.9942891204643682,2.0154755171321415
4.358974358974359,0.0031049342998192425,1.9968950657001807,2.005931431386469
4.615384615384615,0.0016820047440252682,1.9983179952559746,1.9881902833145224
4.871794871794871,0.0009109439520273491,1.9990890560479726,1.9987974295788797
5.128205128205128,0.0004932701712055854,1.9995067298287945,2.0211235749618606
5.384615384615384,0.0002664487495789654,1.999733551250421,2.0083960445305014
5.6410256410256405,0.00014426404821179,1.9998557359517881,1.9996188567584323
5.897435897435897,7.797441622135667e-05,1.9999220255837786,1.9949367355145158
6.153846153846153,4.215735844376212e-05,1.9999578426415563,2.000084838007472
6.41025641025641,2.2821529030643163e-05,1.9999771784709695,1.998863807974111
6.666666666666666,1.2376471505403055e-05,1.9999876235284946,2.019653377552784
6.9230769230769225,6.61609975582604e-06,1.9999933839002442,1.9955594724912824
7.179487179487179,3.7463672404428263e-06,1.9999962536327596,2.020516498158493
7.435897435897435,1.921779851690495e-06,1.9999980782201483,2.004072565856407
7.692307692307692,1.0305560645051338e-06,1.9999989694439355,2.036629447389377
7.948717948717948,6.997170368375113e-07,1.9999993002829632,1.999447510343352
8.205128205128204,3.249895290102831e-07,1.999999675010471,2.0378067432709956
8.46153846153846,9.830839697248598e-08,1.999999901691603,1.99479869186701
8.717948717948717,9.866800808904571e-08,1.999999901331992,2.0130843187542906
8.974358974358974,1.7224135973856283e-07,1.9999998277586402,2.0451720727922234
9.23076923076923,9.480786030198835e-08,1.9999999051921398,2.0034772253571655
9.487179487179485,4.0503764152883406e-08,1.9999999594962359,2.000894941357019
9.743589743589743,3.117966732675858e-08,1.9999999688203327,2.00276276781225
10.0,3.066936827312763e-08,1.9999999693306316,2.0279199472165335
