t,S_true,P_true,P_obs
0.0,1.0,0.0,0.015495876219321046
0.2564102564102564,0.8023066509224405,0.19769334907755953,0.1802493138084426
0.5128205128205128,0.6218177737804811,0.3781822262195189,0.3532088188917309
0.7692307692307692,0.4624444849601516,0.5375555150398483,0.5373443095821737
1.0256410256410255,0.3275143481347189,0.6724856518652811,0.6603450877332292
1.282051282051282,0.21961734004978611,0.7803826599502139,0.7976795593857334
1.5384615384615383,0.1393561172483708,0.8606438827516292,0.8753154397126922
1.7948717948717947,0.08409710577159568,0.9159028942284043,0.935362820726067
2.051282051282051,0.048770042680323755,0.9512299573196763,0.9930534095591504
2.3076923076923075,0.0275003459019297,0.9724996540980703,0.9542223368887511
2.564102564102564,0.01522130920407623,0.9847786907959237,1.0003618366589577
2.8205128205128203,0.008346382415357782,0.9916536175846422,0.9949439648989101
3.0769230769230766,0.004545832260598357,0.9954541677394017,0.9721420341313849
3.333333333333333,0.0024664327847885243,0.9975335672152115,0.9935413313871678
3.5897435897435894,0.0013372639456912124,0.9986627360543088,0.9845210632409701
3.846153846153846,0.0007238396213686291,0.9992761603786313,1.0036992112867404
4.102564102564102,0.00039125809194048166,0.9996087419080595,1.0207951385758325
4.358974358974359,0.00021190565598460745,0.9997880943440154,1.008824460030304
4.615384615384615,0.00011444873873930694,0.9998855512612607,0.9897578393198084
4.871794871794871,6.193233103727957e-05,0.9999380676689628,0.9996464411998699
5.128205128205128,3.349594397148154e-05,0.9999665040560285,1.0215833491890944
5.384615384615384,1.813990446860415e-05,0.9999818600955314,1.0086443533756118
5.6410256410256405,9.754014599076136e-06,0.9999902459854009,0.9997533667920451
5.897435897435897,5.422342647184901e-06,0.9999945776573528,0.99500928758809
6.153846153846153,2.806911639111876e-06,0.9999971930883609,1.0001241884542769
6.41025641025641,1.578134285172339e-06,0.9999984218657149,0.9988850513688565
6.666666666666666,9.46254865736214e-07,0.9999990537451343,1.0196648077694237
6.9230769230769225,4.156300578007522e-07,0.9999995843699422,0.9955656729609803
7.179487179487179,2.0456386366728526e-07,0.9999997954361364,1.0205200399618697
7.435897435897435,2.2842940355026462e-07,0.9999997715705965,1.004074259206855
7.692307692307692,1.4431401664421825e-07,0.9999998556859834,1.0366303336314249
7.948717948717948,-2.5065752255427412e-08,1.0000000250657524,0.9994482351261412
8.205128205128204,-8.420336178565036e-08,1.0000000842033618,1.0378071524638868
8.46153846153846,5.69368676015026e-09,0.9999999943063133,0.9947987844817202
8.717948717948717,1.4659080797909317e-07,0.9999998534091921,1.0130842708314907
8.974358974358974,1.2537535779947032e-07,0.9999998746246422,1.0451721196582255
9.23076923076923,3.7862477916581256e-08,0.9999999621375221,1.003477282302548
9.487179487179485,8.094466522020783e-09,0.9999999919055335,1.0008949737663169
9.743589743589743,3.364814687730626e-08,0.9999999663518532,1.0027627653437705
10.0,4.796672259704919e-08,0.9999999520332774,1.0279199299191795
